Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
"DexCom, Inc.",DXCM,United States,Medical Devices,2023,3622300000.0,USD,541500000.0,6264500000.0,748500000.0
"DexCom, Inc.",DXCM,United States,Medical Devices,2022,2909800000.0,USD,341200000.0,5391700000.0,669500000.0
Diageo plc,DEO,United Kingdom,Beverages - Wineries & Distilleries,2025,20245000000.0,USD,2354000000.0,49322000000.0,4297000000.0
Diageo plc,DEO,United Kingdom,Beverages - Wineries & Distilleries,2024,20269000000.0,USD,3870000000.0,45474000000.0,4105000000.0
Diageo plc,DEO,United Kingdom,Beverages - Wineries & Distilleries,2023,20555000000.0,USD,4445000000.0,44883000000.0,3636000000.0
"Diamondback Energy, Inc.",FANG,United States,Oil & Gas E&P,2024,11023000000.0,USD,3338000000.0,67292000000.0,6413000000.0
"Diamondback Energy, Inc.",FANG,United States,Oil & Gas E&P,2023,8339000000.0,USD,3143000000.0,29001000000.0,5920000000.0
"Diamondback Energy, Inc.",FANG,United States,Oil & Gas E&P,2022,9566000000.0,USD,4386000000.0,26209000000.0,6325000000.0
"Digital Realty Trust, Inc.",DLR,United States,REIT - Specialty,2024,5554968000.0,USD,602490000.0,45283616000.0,2261477000.0
"Digital Realty Trust, Inc.",DLR,United States,REIT - Specialty,2023,5477061000.0,USD,948838000.0,44113258000.0,1634780000.0
"Digital Realty Trust, Inc.",DLR,United States,REIT - Specialty,2022,4691834000.0,USD,377684000.0,41484998000.0,1659388000.0
Dow Inc.,DOW,United States,Chemicals,2024,42964000000.0,USD,1116000000.0,57312000000.0,2914000000.0
Dow Inc.,DOW,United States,Chemicals,2023,44622000000.0,USD,589000000.0,57967000000.0,5196000000.0
Dow Inc.,DOW,United States,Chemicals,2022,56902000000.0,USD,4582000000.0,60603000000.0,7475000000.0
"DuPont de Nemours, Inc.",DD,United States,Specialty Chemicals,2024,12386000000.0,USD,703000000.0,36636000000.0,2321000000.0
"DuPont de Nemours, Inc.",DD,United States,Specialty Chemicals,2023,12068000000.0,USD,423000000.0,38552000000.0,2191000000.0
"DuPont de Nemours, Inc.",DD,United States,Specialty Chemicals,2022,13017000000.0,USD,5868000000.0,41355000000.0,1249000000.0
Duke Energy Corporation,DUK,United States,Utilities - Regulated Electric,2024,30357000000.0,USD,4524000000.0,186343000000.0,12328000000.0
Duke Energy Corporation,DUK,United States,Utilities - Regulated Electric,2023,29060000000.0,USD,2841000000.0,176893000000.0,9878000000.0
Duke Energy Corporation,DUK,United States,Utilities - Regulated Electric,2022,28768000000.0,USD,2550000000.0,178086000000.0,5927000000.0
EQT Corporation,EQT,United States,Oil & Gas E&P,2024,5222192000.0,USD,230577000.0,39830255000.0,2826973000.0
EQT Corporation,EQT,United States,Oil & Gas E&P,2023,5069982000.0,USD,1735232000.0,25285098000.0,3178850000.0
EQT Corporation,EQT,United States,Oil & Gas E&P,2022,12140621000.0,USD,1770965000.0,22669926000.0,3465560000.0
Eaton Corporation plc,ETN,Ireland,Specialty Industrial Machinery,2024,24878000000.0,USD,3794000000.0,38381000000.0,4327000000.0
Eaton Corporation plc,ETN,Ireland,Specialty Industrial Machinery,2023,23196000000.0,USD,3218000000.0,38432000000.0,3624000000.0
Eaton Corporation plc,ETN,Ireland,Specialty Industrial Machinery,2022,20752000000.0,USD,2462000000.0,35014000000.0,2533000000.0
Ecolab Inc.,ECL,United States,Specialty Chemicals,2024,15741400000.0,USD,2112400000.0,22387800000.0,2813900000.0
Ecolab Inc.,ECL,United States,Specialty Chemicals,2023,15320200000.0,USD,1372300000.0,21846600000.0,2411800000.0
Ecolab Inc.,ECL,United States,Specialty Chemicals,2022,14187800000.0,USD,1091700000.0,21464300000.0,1788400000.0
Edwards Lifesciences Corporation,EW,United States,Medical Devices,2024,5439500000.0,USD,4174600000.0,13055300000.0,542300000.0
Edwards Lifesciences Corporation,EW,United States,Medical Devices,2023,5010000000.0,USD,1402400000.0,9363200000.0,895800000.0
Edwards Lifesciences Corporation,EW,United States,Medical Devices,2022,4464000000.0,USD,1521900000.0,8292500000.0,1218200000.0
"Elevance Health, Inc.",ELV,United States,Healthcare Plans,2024,176810000000.0,USD,5980000000.0,116889000000.0,5808000000.0
"Elevance Health, Inc.",ELV,United States,Healthcare Plans,2023,171340000000.0,USD,5987000000.0,108928000000.0,8061000000.0
"Elevance Health, Inc.",ELV,United States,Healthcare Plans,2022,156595000000.0,USD,5894000000.0,102755000000.0,8399000000.0
Eli Lilly and Company,LLY,United States,Drug Manufacturers - General,2024,45042700000.0,USD,10590000000.0,78714900000.0,8817900000.0
Eli Lilly and Company,LLY,United States,Drug Manufacturers - General,2023,34124100000.0,USD,5240400000.0,64006300000.0,4240100000.0
Eli Lilly and Company,LLY,United States,Drug Manufacturers - General,2022,28541400000.0,USD,6244800000.0,49489800000.0,7585700000.0
Emerson Electric Co.,EMR,United States,Specialty Industrial Machinery,2025,18016000000.0,USD,2293000000.0,41964000000.0,3098000000.0
Emerson Electric Co.,EMR,United States,Specialty Industrial Machinery,2024,17492000000.0,USD,1968000000.0,44246000000.0,3332000000.0
Emerson Electric Co.,EMR,United States,Specialty Industrial Machinery,2023,15165000000.0,USD,13219000000.0,42746000000.0,637000000.0
"Equinix, Inc.",EQIX,United States,REIT - Specialty,2024,8748000000.0,USD,815000000.0,35085000000.0,3249000000.0
"Equinix, Inc.",EQIX,United States,REIT - Specialty,2023,8188000000.0,USD,969000000.0,32651000000.0,3217000000.0
"Equinix, Inc.",EQIX,United States,REIT - Specialty,2022,7263000000.0,USD,705000000.0,30310742000.0,2963000000.0
Equinor ASA,EQNR,Norway,Oil & Gas Integrated,2024,102502000000.0,USD,8806000000.0,131141000000.0,20110000000.0
